
trip_month,trip_year,num_trips
12,2015,18390
12,2014,19677
12,2013,19894
11,2015,23356
11,2014,25516
11,2013,24219
10,2015,31053
10,2014,34220
10,2013,29105
9,2015,30396
9,2014,31682
9,2013,25243
8,2016,30355
8,2015,31904
8,2014,31215
8,2013,2102
7,2016,25784
7,2015,32476
7,2014,31279
6,2016,29783
6,2015,31907
6,2014,29982
5,2016,28322
5,2015,29540
5,2014,28502
4,2016,26612
4,2015,31363
4,2014,26221
3,2016,25558
3,2015,31626
3,2014,24593
2,2016,24560
2,2015,26401
2,2014,19024
1,2016,19520
1,2015,27840
1,2014,24428
